Cal. year / month,Material Group,Calendar Day,Material,Brand,Sales Office,Sales District,Sold-to party,Acounts,Ship-To Party,Customer group 1,SalesValue,SalesQty,FocQty,Total Qty(Ea)
7.2022,ASTRA ZENECA,7/7/2022,M350857,ZESTRIL 20MG TAB 28(RED),MPC Dubai Sales Off,Bur Dubai,48731,MEDSHOP DRUGS STORE (L.L.C),48731,Private,"29,204.00 AED",400.000 EA,,400.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350857,ZESTRIL 20MG TAB 28(RED),MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"3,650.50 AED",50.000 EA,,50.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350861,ZOLADEX DEPOT 3.6mg INJ,MPC Dubai Sales Off,Bur Dubai,1090,EMIRATES AIRLINES PHARMACY,1090,Private,"1,589.04 AED",3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350861,ZOLADEX DEPOT 3.6mg INJ,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"7,945.20 AED",15.000 EA,,15.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350861,ZOLADEX DEPOT 3.6mg INJ,MPC Abudhabi Off,Abu Dhabi,75902,GLOBAL MEDICAL SUPPLYCHAIN LLC,75902,Institutional,"1,059.36 AED",2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Dubai,123050,LIFE PHARMACY 85 (BR OF LIFE PHARMA,123050,Private,146.02 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Deira Dubai,91386,LIFE AL WARQA PHARMACY -(L.G),91386,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,511.07 AED,7.000 EA,,7.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Bur Dubai,104907,MAS LIFE PHARMACY (L.G),104907,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350862,ZESTORETIC TAB OF 28,MPC Dubai Sales Off,Sharjah,99423,HALA PHARMACY LLC BR 33 (L.G),99423,Private,73.01 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350863,ZOLADEX LA DEPOT 10.8MG INJ,MPC Dubai Sales Off,Deira Dubai,10058,YARA PHY - (L.G),10058,Private,"1,773.04 AED",1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350863,ZOLADEX LA DEPOT 10.8MG INJ,MPC Dubai Sales Off,Deira Dubai,72913,DOCIB MEDICAL STORE,72913,Private,"1,773.04 AED",1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350863,ZOLADEX LA DEPOT 10.8MG INJ,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"17,730.40 AED",10.000 EA,,10.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350863,ZOLADEX LA DEPOT 10.8MG INJ,MPC Abudhabi Off,Abu Dhabi,75902,GLOBAL MEDICAL SUPPLYCHAIN LLC,75902,Institutional,"12,049.65 AED",9.000 EA,,9.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,444.92 AED,7.000 EA,,7.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"6,356.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,48731,MEDSHOP DRUGS STORE (L.L.C),48731,Private,"95,340.00 AED","1,500.000 EA",,"1,500.000 EA"
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,76644,REAL 10 PHARMACY (L.G),76644,Private,317.80 AED,5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Bur Dubai,89320,SUSTAINABLE LIFE PHY L.L.C(L.G),89320,Private,254.24 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Sharjah,91357,HALA PHARMACY LLC - BR 19 (L.G.),91357,Private,127.12 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350865,ZOMIG 2.5MG TABS OF 3,MPC Dubai Sales Off,Ras Al Khaima,52829,ARABIAN HEALTHCARE HOSPITAL RAK,52829,Private,"3,178.00 AED",50.000 EA,,50.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Dubai,63775,AL GARHOUD PRIVATE HOSPITAL LLC,63775,Private,"2,372.60 AED",20.000 EA,,20.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Deira Dubai,72913,DOCIB MEDICAL STORE,72913,Private,"1,779.45 AED",15.000 EA,,15.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Deira Dubai,79749,MED X PHARMACY LLC  - NADAL HAMAR B,79749,Private,237.26 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"10,913.96 AED",92.000 EA,,92.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"11,863.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Dubai Sales Off,Bur Dubai,48731,MEDSHOP DRUGS STORE (L.L.C),48731,Private,"154,219.00 AED","1,300.000 EA",,"1,300.000 EA"
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"11,863.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Abudhabi Off,Abu Dhabi,49642,AL DAMAN PHARMACY,49642,Private,-762.72 AED,-6.000 EA,,-6.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350866,ZOMIG 2.5MG TABS OF 6,MPC Abudhabi Off,Abu Dhabi,75902,GLOBAL MEDICAL SUPPLYCHAIN LLC,75902,Institutional,"28,468.08 AED",228.000 EA,10.000 EA,238.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350883,FASLODEX 250MG/5ML 2 PFS,MPC Dubai Sales Off,Ras Al Khaima,78845,SHEIKH KHALIFA SPECIALITY HOSPITAL,78845,Institutional,"100,051.20 AED",40.000 EA,,40.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350886,XIGDUO XR 5/500 OF 30'S,MPC Dubai Sales Off,Dubai,123572,WESTERN DRUG & MEDICAL EQUIPMENT ST,123572,Private,"4,735.40 AED",20.000 EA,1.000 EA,21.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350886,XIGDUO XR 5/500 OF 30'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"47,354.00 AED",200.000 EA,6.000 EA,206.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350887,XIGDUO XR 10/500 OF 30'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"47,354.00 AED",200.000 EA,6.000 EA,206.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350887,XIGDUO XR 10/500 OF 30'S,MPC Dubai Sales Off,Sharjah,110286,AL WASFA PHARMACY LLC,110286,Private,473.54 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Dubai,63775,AL GARHOUD PRIVATE HOSPITAL LLC,63775,Private,"9,470.80 AED",40.000 EA,,40.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Dubai,91933,SUPER CARE PHY FESTIVAL CITY,91933,Private,"2,130.93 AED",9.000 EA,,9.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Dubai,110900,PHARMACHOICE PHARMACY LLC,110900,Private,"9,234.03 AED",39.000 EA,,39.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Deira Dubai,1643,AL SAAH PHY-DEIRA,1643,Private,473.54 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Deira Dubai,105025,HEALTH HUB PHARMACY(BR OF ALFUTTAIM,105025,Private,"1,420.62 AED",6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"3,551.55 AED",15.000 EA,,15.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Bur Dubai,78468,NAJMAT AL SANA DRUG STORE LLC,78468,Private,236.77 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Sharjah,1569,MAJID PHY-SHJ,1569,Private,"1,183.85 AED",5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Sharjah,79153,ZULEKHA MEDICINE & MEDICAL EQUIP.,79153,Private,"8,286.95 AED",35.000 EA,1.000 EA,36.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Ras Al Khaima,1622,AL MANAL PHY-RAK,1622,Private,710.31 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350888,XIGDUO XR 5/1000 OF 60'S,MPC Dubai Sales Off,Ras Al Khaima,52829,ARABIAN HEALTHCARE HOSPITAL RAK,52829,Private,"11,838.50 AED",50.000 EA,1.000 EA,51.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"3,788.32 AED",16.000 EA,,16.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"118,385.00 AED",500.000 EA,15.000 EA,515.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Dubai Sales Off,Sharjah,82254,EMIRATES RED CRESCENT- SHARJAH,82254,Institutional,473.54 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Dubai Sales Off,Sharjah,95322,AL REAYAH AELIYAH DRUG STORE LLC,95322,Private,710.31 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350889,XIGDUO XR 10/1000 OF 30'S,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"213,093.00 AED",900.000 EA,54.000 EA,954.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M350991,ENHERTU 100MG 1 VIAL/CARTOON,MPC Dubai Sales Off,Bur Dubai,31665,NEURO SPINAL HOSPITAL - DUBAI,31665,Private,"48,430.00 AED",5.000 EA,,5.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"4,094.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Dubai Sales Off,Sharjah,1320,AL FAJER PHY-SHJ,1320,Private,40.94 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Dubai Sales Off,Sharjah,79153,ZULEKHA MEDICINE & MEDICAL EQUIP.,79153,Private,"1,228.20 AED",30.000 EA,,30.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Dubai Sales Off,Ras Al Khaima,52829,ARABIAN HEALTHCARE HOSPITAL RAK,52829,Private,818.80 AED,20.000 EA,,20.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,412,LANDMARK PLAZA PHARMACY - ABU DHABI,412,Private,491.28 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"9,620.90 AED",235.000 EA,,235.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360001,ATACAND 4MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,61028,ALPHA PHARMACY,61028,Private,122.82 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360002,ATACAND 8MG TABS OF 28'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"6,120.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360002,ATACAND 8MG TABS OF 28'S,MPC Dubai Sales Off,Fujairah,62973,AL SHARQ HOSPITAL-FUJ,1000000757,Private,"1,530.00 AED",25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360002,ATACAND 8MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,412,LANDMARK PLAZA PHARMACY - ABU DHABI,412,Private,734.40 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360002,ATACAND 8MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,61028,ALPHA PHARMACY,61028,Private,122.40 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360003,ATACAND 16MG TABS OF 28'S,MPC Dubai Sales Off,Dubai,104769,KINGS COLLEGE HOSPITAL LONDON(BR OF,104769,Private,359.34 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360003,ATACAND 16MG TABS OF 28'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"5,989.00 AED",100.000 EA,,100.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360003,ATACAND 16MG TABS OF 28'S,MPC Dubai Sales Off,Sharjah,82254,EMIRATES RED CRESCENT- SHARJAH,82254,Institutional,119.78 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360003,ATACAND 16MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,412,LANDMARK PLAZA PHARMACY - ABU DHABI,412,Private,718.68 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360003,ATACAND 16MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,61028,ALPHA PHARMACY,61028,Private,179.67 AED,3.000 EA,,3.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360004,ATACAND PLUS 16/12.5MG TABS OF 28'S,MPC Dubai Sales Off,Dubai,124101,SWT PHARMACY LLC,124101,Private,405.18 AED,6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360004,ATACAND PLUS 16/12.5MG TABS OF 28'S,MPC Dubai Sales Off,Bur Dubai,105516,EMIRATES HOSPITALS GROUP MEDICAL,105516,Private,"1,688.25 AED",25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360004,ATACAND PLUS 16/12.5MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"1,688.25 AED",25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360004,ATACAND PLUS 16/12.5MG TABS OF 28'S,MPC Abudhabi Off,Abu Dhabi,49642,AL DAMAN PHARMACY,49642,Private,-135.06 AED,-2.000 EA,,-2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Dubai,91933,SUPER CARE PHY FESTIVAL CITY,91933,Private,581.40 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"10,901.25 AED",75.000 EA,2.000 EA,77.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"36,337.50 AED",250.000 EA,10.000 EA,260.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Bur Dubai,48731,MEDSHOP DRUGS STORE (L.L.C),48731,Private,"50,872.50 AED",350.000 EA,,350.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Dubai Sales Off,Sharjah,57940,CENTRAL PRIVATE HOSPITAL SHJ,57940,Private,"3,633.75 AED",25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"72,675.00 AED",500.000 EA,,500.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360015,PULMICORT NEB.SOL 0.25MG/ML 20'S 2ML,MPC Abudhabi Off,Abu Dhabi,426,PHARMA LIGHT MEDICAL STORE LLC,426,Private,"29,070.00 AED",200.000 EA,,200.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360023,NEXIUM 10MG SACHETS OF 28'S,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,607.76 AED,8.000 EA,,8.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360023,NEXIUM 10MG SACHETS OF 28'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"2,279.10 AED",30.000 EA,,30.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360024,NEXIUM 40MG INJ PACK OF 10'S,MPC Dubai Sales Off,Dubai,68804,BELLA ROMA SPECIALTY HOSPITAL L.L.C,68804,Private,616.20 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Dubai Sales Off,Deira Dubai,72913,DOCIB MEDICAL STORE,72913,Private,253.24 AED,4.000 EA,,4.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Dubai Sales Off,Bur Dubai,105516,EMIRATES HOSPITALS GROUP MEDICAL,105516,Private,"12,662.00 AED",200.000 EA,20.000 EA,220.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Dubai Sales Off,Sharjah,1547,NEW CITY PHARMACY LLC,1547,Private,126.62 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Dubai Sales Off,Sharjah,110672,ISHAQ BIN OMRAN PHARMACY SHARJAH,110672,Private,"1,582.75 AED",25.000 EA,,25.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Abudhabi Off,Abu Dhabi,413,AL MANARA PHARMACY EST,413,Private,"6,331.00 AED",100.000 EA,10.000 EA,110.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360025,NEXIUM 20MG TABS OF 14'S,MPC Abudhabi Off,Abu Dhabi,109921,PLUS INTERNATIONAL MEDICAL CENTRE L,109921,Private,759.72 AED,12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Dubai Sales Off,Dubai,124101,SWT PHARMACY LLC,124101,Private,"1,063.56 AED",12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"88,630.00 AED","1,000.000 EA",90.000 EA,"1,090.000 EA"
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Dubai Sales Off,Sharjah,81067,ORIANA PHARMACY-SHARJAH,81067,Private,"26,589.00 AED",300.000 EA,,300.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Dubai Sales Off,Sharjah,110672,ISHAQ BIN OMRAN PHARMACY SHARJAH,110672,Private,"4,431.50 AED",50.000 EA,,50.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Abudhabi Off,Abu Dhabi,425,NEW MEDICAL CENTRE TRADING LTD,425,Private,"1,418.08 AED",16.000 EA,1.000 EA,17.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360026,NEXIUM 40MG TABS OF 14'S,MPC Abudhabi Off,Abu Dhabi,109921,PLUS INTERNATIONAL MEDICAL CENTRE L,109921,Private,"1,063.56 AED",12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360047,SYMBICORT  320/9MCG 60 DOSES,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"1,519.36 AED",8.000 EA,,8.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360047,SYMBICORT  320/9MCG 60 DOSES,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"2,279.04 AED",12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360047,SYMBICORT  320/9MCG 60 DOSES,MPC Dubai Sales Off,Sharjah,95322,AL REAYAH AELIYAH DRUG STORE LLC,95322,Private,189.92 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Dubai,104769,KINGS COLLEGE HOSPITAL LONDON(BR OF,104769,Private,"6,584.10 AED",30.000 EA,,30.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Deira Dubai,1466,AL RASHIDYA PHY-DEIRA,1466,Private,438.94 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Deira Dubai,1605,AL HILAL PHY-DEIRA,1605,Private,219.47 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Deira Dubai,72913,DOCIB MEDICAL STORE,72913,Private,219.47 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Deira Dubai,105025,HEALTH HUB PHARMACY(BR OF ALFUTTAIM,105025,Private,"1,316.82 AED",6.000 EA,,6.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Bur Dubai,19413,ALPHAMED DRUG STORE,19413,Private,"5,267.28 AED",24.000 EA,,24.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Bur Dubai,46417,PRIME MEDICAL STORE LLC DUBAI,46417,Private,"109,735.00 AED",500.000 EA,15.000 EA,515.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Sharjah,81067,ORIANA PHARMACY-SHARJAH,81067,Private,"10,973.50 AED",50.000 EA,,50.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Sharjah,95322,AL REAYAH AELIYAH DRUG STORE LLC,95322,Private,219.47 AED,1.000 EA,,1.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Dubai Sales Off,Sharjah-Dibba,60541,AL SALAMA PHARMACY - FUJ,60541,Private,438.94 AED,2.000 EA,,2.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Abudhabi Off,Abu Dhabi,412,LANDMARK PLAZA PHARMACY - ABU DHABI,412,Private,"2,633.64 AED",12.000 EA,,12.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360048,SYMBICORT  160/4.5 MCG 120DOSE,MPC Abudhabi Off,Abu Dhabi,72671,VPS DRUG STORE LLC,72671,Private,"131,682.00 AED",600.000 EA,48.000 EA,648.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360049,SYMBICORT 80/4.5 MCG CHILDREN 120DOSE,MPC Dubai Sales Off,Dubai,123572,WESTERN DRUG & MEDICAL EQUIPMENT ST,123572,Private,"2,701.20 AED",20.000 EA,1.000 EA,21.000 EA
7.2022,ASTRA ZENECA,7/7/2022,M360049,SYMBICORT 80/4.5 MCG CHILDREN 120DOSE,MPC Dubai Sales Off,Deira Dubai,105025,HEALTH HUB PHARMACY(BR OF ALFUTTAIM,105025,Private,"1,620.72 AED",12.000 EA,,12.000 EA
